[
[7/15, 2/5, 3/5, 4/15, 4/15, 8/15],
[3/5, 4/15, 7/15, 2/5, 4/15, 8/15],
[3/5, 7/15, 7/15, 4/15, 2/5, 4/15],
[3/5, 8/15, 3/5, 2/15, 1/3, 1/3],
[2/3, 1/3, 8/15, 2/5, 2/15, 2/5],
[2/3, 1/3, 3/5, 1/3, 1/5, 1/3],
[11/15, 1/5, 4/5, 2/15, 2/15, 11/15],
[4/5, 2/15, 11/15, 1/5, 2/15, 11/15],
[4/5, 1/3, 2/5, 1/3, 1/3, 1/3],
[4/5, 11/15, 4/15, 2/15, 1/5, 2/15],
[7/15, 2/5, 17/30, 3/10, 7/30, 17/30],
[7/15, 13/30, 3/5, 7/30, 3/10, 1/2],
[1/2, 13/30, 7/15, 13/30, 1/10, 11/15],
[1/2, 13/30, 23/30, 2/15, 2/5, 13/30],
[8/15, 11/30, 3/5, 3/10, 1/6, 3/5],
[8/15, 11/30, 2/3, 7/30, 7/30, 8/15],
[8/15, 13/30, 1/2, 11/30, 1/10, 11/15],
[8/15, 13/30, 3/5, 7/30, 7/30, 1/2],
[8/15, 1/2, 7/15, 11/30, 1/10, 3/5],
[8/15, 1/2, 8/15, 11/30, 1/10, 2/5],
[8/15, 1/2, 3/5, 3/10, 1/6, 1/3],
[8/15, 1/2, 2/3, 1/6, 3/10, 2/5],
[17/30, 3/10, 7/15, 2/5, 7/30, 17/30],
[17/30, 3/10, 3/5, 4/15, 11/30, 13/30],
[17/30, 1/3, 3/5, 3/10, 2/15, 7/10],
[17/30, 1/3, 11/15, 1/6, 4/15, 17/30],
[17/30, 2/5, 19/30, 4/15, 1/6, 1/2],
[17/30, 2/5, 23/30, 2/15, 3/10, 1/2],
[17/30, 13/30, 3/5, 1/3, 1/10, 13/30],
[17/30, 13/30, 19/30, 3/10, 2/15, 2/5],
[17/30, 7/15, 13/30, 2/5, 1/10, 3/5],
[17/30, 7/15, 1/2, 3/10, 2/5, 7/30],
[17/30, 7/15, 1/2, 13/30, 4/15, 1/10],
[17/30, 7/15, 17/30, 4/15, 1/6, 7/15],
